#key	name	year	genre	developer	players
Immercenary - Combat in a Digital World (USA)	Immercenary	1995	Shooter / FPV/Shooter	Five Miles Out	1
Immortal Desire (USA)	Immortal Desire	1994	Adventure / Interactive Movie/Adults/Adventure	Vivid Interactive	1
Incredible Machine, The (USA)	The Incredible Machine	1994	Puzzle	Dynamix	1
Incredible Machine, The - Pararancho (Japan)	The Incredible Machine	1994	Puzzle	Dynamix	1
Insector War (Japan)	Insector War	1994	Shooter	Riverhillsoft	1-4
Iron Angel of the Apocalypse - Tetsujin (USA)	Iron Angel of The Apocalypse	1994	Shooter / FPV/Shooter	Synergy	1
Iron Angel of the Apocalypse - The Return (USA)	Iron Angel of the Apocalypse : The Return	1995	Shooter / FPV/Shooter	Synergy	1
Ishida Yoshio Kudan no Igo Seiha (Japan)	Ishida Yoshio Kudan No Igo Seiha	1995	Go/Asiatic board game	Electronic Arts	1
J. B. Harold - Blue Chicago Blues (Japan) (Disc 1)	J.B. Harold : Blue Chicago Blues	1995	Adventure / Interactive Movie/Adventure	Riverhillsoft	1
J.League Virtual Stadium '95 (Japan)	J.League Virtual Stadium '95	1995	Sports / Football (Soccer)/Sports	Electronic Arts	1-6
J.League Virtual Stadium (Japan)	J. League Virtual Stadium	1994	Sports / Football (Soccer)/Sports	Electronic Arts	1-6
Jammit (USA)	Jammit	1994	Sports / Basketball/Sports	GTE Entertainment	1-2
Jikki Pachi-Slot Simulator Vol. 1 (Japan)	Jikki Pachi Slot Simulator Vol. 1	1995	Casino	Electronic Arts	1
John Madden Football (USA)	John Madden Football	1994	Sports / Football (American)/Sports	High Score Productions	2
John Madden NFL Football (Europe)	John Madden Football	1994	Sports / Football (American)/Sports	High Score Productions	2
Johnny Bazookatone (USA)	Johnny Bazookatone	1995	Platform	Arc Developments Limited	1-2
Jurassic Park Interactive (USA)	Jurassic Park Interactive	1994	Racing, Driving	The 3DO Company	1
Kakinoki Shougi (Japan)	Kakinoki Shōgi	1994	Shougi/Asiatic board game	ASCII	1
Keiba Saishou no Housoku (Japan)	Keiba Saishou No Housoku	1994	Horse racing/Sports with animals	Copya System	1
Kero Kero Keroppi to Origami no Tabibito (Japan)	Kero Kero Keroppi to Origami no Tabibito	1995	Educational	Mizuki	1
Killing Time (USA) (RE1)	Killing Time	1995	Shooter / FPV/Shooter	Studio 3DO	1
Kingdom - The Far Reaches (USA, Europe)	Kingdom : The Far Reaches	1995	Adventure	Interplay	1
Konpeki no Kantai (Japan)	Konpeki No Kantai	1995	Strategy	Micro Cabin	1
Kyuusei Senjutsu ni Yoru - Heisei Kaiun Koyomi (Japan)	Kyuusei Uranai Niyoru Heisei Kaiun Koyomi	1994	Various	Ariadne	1
Last Bounty Hunter, The (USA)	The Last Bounty Hunter	1995	Lightgun Shooter	American Laser Games	1
Lemmings (USA)	Lemmings	1993	Puzzle	DMA Design	1
Life Stage, The - Virtual House (USA, Korea)	The Life Stage : Virtual House	1993	Educational	Micro Cabin	1
Little House, The (Japan)	The Little House	1995	Simulation / Life/Simulation	Mugei	1
Lost Dungeon (Japan)	Slayer	1994	Role Playing Game	Lion Entertainment	1
Lost Eden (USA, Korea)	Lost Eden	1995	Adventure	Cryo Interactive	1
Lost Files of Sherlock Holmes, The (USA)	The Lost Files of Sherlock Holmes	1994	Adventure	Mythos Software	1
Love Bites (USA)	Love Bites	1995	Adventure / Interactive Movie/Adults/Adventure	Vivid Interactive	1
Lucienne's Quest (USA)	Lucienne's Quest	1995	Role Playing Game	Panasonic	1
Mad Dog II - The Lost Gold (USA)	Mad Dog II : The Lost Gold	1994	Lightgun Shooter	American Laser Games	1-2
Mad Dog McCree (USA)	Mad Dog McCree	1994	Lightgun Shooter	American Laser Games	1-2
Mahjong Gokuu Tenjiku (Japan)	Mahjong Gokuu Tenjiku	1994	Mahjong/Asiatic board game	Chat Noir	1
Mahjong-kyou Jidai - AV Gal Seifuku-hen (Japan)	Mahjong Kyō Jidai : AV Gal Seifuku Hen	1994	Adults/Mahjong/Asiatic board game	Micronet	1
Mahjong-kyou Jidai Cogal Houkago-hen (Japan)	Mahjong Kuru Jidai : Kogyaru Houkago-hen	1995	Adults/Mahjong/Asiatic board game	Micronet	1
Makaroni Hourensou Interactive (Japan)	Macaroni Houren Shou Interactive	1995	Adventure	Future Pirates	1
Mazer (USA)	Mazer	1995	Shooter / TPV/Shooter	American Laser Games	1-2
MegaRace (USA, Korea) (En,Fr,De,Es,It)	Megarace	1994	Racing, Driving	Cryo Interactive	1-2
Microcosm (USA)	Microcosm	1994	Shooter / TPV/Shooter	Psygnosis	1-2
Mind Teazzer (USA)	Mind Teazzer	1994	Puzzle/Adults	Vivid Interactive	1
