#key	name	year	genre	developer	players
Shougi Touryuumon (Japan)	Shougi Touryuumon	1999	Shougi/Asiatic board game	Sammy Corporation	1-2
Side Pocket for WonderSwan (Japan)	Side Pocket	1999	Sports / Pool/Simulation/Sports	Data East	1-2
Slither Link (Japan)	Slither Link	2000	Puzzle	Tomcat System	1
Soccer Yarou! - Challenge the World (Japan)	Soccer Yarou! ~challenge The World~	1999	Sports / Football (Soccer)/Sports	Coconuts Japan	1
Sotsugyou for WonderSwan (Japan) (Rev 1)	Sotsugyou For Wonderswan	1999	Simulation	Image Works	1
Space Invaders (Japan)	Space Invaders	1999	Shoot'em Up / Vertical/Shooter / Space Invaders Like/Shooter/Shoot'em Up	Taito	1-2
Super Robot Taisen Compact (Japan)	Super Robot Taisen Compact	1999	Strategy/Role Playing Game	TOSE	1-2
Super Robot Taisen Compact 2 - Dai-1-bu - Chijou Gekidou Hen (Japan)	Super Robot Taisen Compact 2 - Dai-1-bu - Chijou Gekidou Hen	2000	Strategy	TOSE	1
Super Robot Taisen Compact 2 - Dai-2-bu - Uchuu Gekishin Hen (Japan) (Rev 4)	Super Robot Taisen Compact 2 - Dai-2-bu - Uchuu Gekishin Hen	2000	Strategy	TOSE	1
Super Robot Taisen Compact 2 - Dai-3-bu - Ginga Kessen Hen (Japan) (Rev 2)	Super Robot Taisen Compact 2 - Dai-3-bu - Ginga Kessen Hen	2001	Strategy	TOSE	1
Taikyoku Igo - Heisei Kiin (Japan)	Taikyoku Igo : Heisei Kiin	2000	Go/Various/Asiatic board game	Success	1-2
Tanjou Debut for WonderSwan (Japan) (Rev 1)	Tanjou Debut for WonderSwan	2000	Puzzle	Bandai Visual	1
Tare Panda no GunPey (Japan)	Tare Panda no GunPey	1999	Puzzle/Sports / Wrestling/Sports	Bandai	1-2
Tekken Card Challenge (Japan)	Tekken Card Challenge	1999	Strategy	Namco	1-2
Tenori-on (Japan) (En)	Tenori-on	2000	Music and Dancing	Happy Technology Lab	1
Terrors (Japan)	Terrors	1999	Adventure	Megas	1
Tetsujin 28 Gou (Japan)	Tetsujin 28 Gou	1999	Adventure	Hikari-Pro	1
Time Bokan Series - Bokan Densetsu - Buta mo Odaterya Doronboo (Japan)	Time Bokan Series : Bokan Densetsu - Butamo Odaterya Doronbou	2000	Role Playing Game	Alpha Unit	1
Tokyo Majin Gakuen - Fuju Houroku (Japan)	Tokyo Majin Gakuen : Fuju Houroku	2000	Adventure / Visual Novel/Role Playing Game/Adventure	Shout!Designworks	1-2
Trump Collection - Bottom-Up Teki Trump Seikatsu (Japan) (Rev 1)	Trump Collection : Bottom-Up Teki Trump Seikatsu	1999	Playing cards	Bottom Up Interactive	1
Trump Collection 2 - Bottom-Up Teki Sekaiisshuu no Tabi (Japan) (Rev 1)	Trump Collection 2 : Bottom-Up Teki Sekaiisshuu no	2000	Playing cards	Bottom Up Interactive	1
Turntablist - DJ Battle (Japan)	Turntablist - Dj Battle	1999	Music and Dancing/Sports	Vestax	1-2
Umizuri ni Ikou! (Japan)	Umizuri ni Ikou!	1999	Fishing/Sports/Hunting and Fishing	Coconuts Japan	1
Uzumaki - Denshi Kaiki Hen (Japan) (Rev 4)	Uzumaki : Denshi Kaikihen	2000	Adventure	Omega Micott	1
Uzumaki - Noroi Simulation (Japan)	Uzumaki : Noroi Simulation	2000	Adventure	Omega Micott	1
Vaitz Blade (Japan) (Rev 1)	Vaitz Blade	1999	Role Playing Game	Tom Create	1
Wasabi Produce - Street Dancer (Japan)	Wasabi Produce - Street Dancer	2000	Rhythm/Music and Dancing	Amuse	1-2
Wonder Stadium '99 (Japan)	Wonder Stadium '99	1999	Sports / Baseball/Sports	Namco	1-2
Wonder Stadium (Japan)	Wonder Stadium	1999	Sports / Baseball/Sports	TOSE	1-2
WonderSwan Handy Sonar (Japan) (Rev 2)	Wonderswan Handy Sonar	1999	Fishing/Hunting and Fishing	Bandai	1
