#key	name	year	genre	developer	players
Mission X (USA, Europe)	Mission-x	1982	Shoot'em Up / Vertical/Shoot'em Up	Data East	1
Motocross (USA, Europe)	Motocross	1983	Racing, Driving	Mattel Electronics	1-2
Mountain Madness - Super Pro Skiing (USA)	Mountain Madness: Super Pro Skiing	1988	Sports / Skiing/Sports	Realtime Associates	1-2
Mouse Trap (USA, Europe)	Mouse Trap	1982		Exidy	1-2
Mr. BASIC Meets Bits 'N Bytes (USA, Europe)	Mr. Basic Meets Bits 'n Bytes	1983	Various	Mattel Electronics	1-2
NASL Soccer (World)	Nasl Soccer	1980	Sports	APh Technological Consulting	1-2
NBA Basketball (USA, Europe)	Nba Basketball	1980	Sports / Basketball/Sports	APh Technological Consulting	1-2
NFL Football (World)	Nfl Football	1979	Sports / Football (American)/Sports	APh Technological Consulting	2
NHL Hockey (World)	Nhl Hockey	1979	Sports / Hockey/Sports	APh Technological Consulting	2
Night Stalker (World)	Night Stalker	1982	Action / Labyrinth/Action	Mattel Electronics	1
Nova Blast (USA, Europe)	Nova Blast	1983	Shoot'em Up / Horizontal/Shoot'em Up	Imagic	1
