#key	name	year	genre	developer	players
Sandy's Circus Adventure (USA, Europe)	Sandy’s Circus Adventures				
Sandy's Circus Avontuur (Netherlands)	Sandy’s Circus Adventures				
Sandy's Zirkus Abenteuer (Germany)	Sandy’s Circus Adventures				
Santa Claus' Mice (Europe) (En,Fr)	Santa Claus' Mice				
Sargon Chess (USA)	Sargon Chess	1991	Board game	Spinnaker Software	1
Schtroumpfs, Les - Le Teleportaschtroumpf (France)	Schtroumpfs, Les - Le Teleportaschtroumpf		Platform	Infogrames	1-4
Scotland Yard Interactif (France)	Scotland Yard: Interactive	1993	Board game	AVM AG	1-6
Scotland Yard Interactive (Europe)	Scotland Yard: Interactive	1993	Board game	AVM AG	1-6
Secret Mission (Europe)	Secret Mission	1996	Adventure	Microïds	1
Shadoan (Europe)	Shadoan	1996	Adventure / Graphic/Adventure	Virtual Image Productions	1
Shaolin's Road (Europe) (En,Fr)	Shaolin's Road	1995	Adventure	Infogrames	1
Solar Crusade (Europe)	Solar Crusade	1999	Shoot'em Up	Infogrames	1-2
Solar System (Europe)	Solar System	1993	Educational	Multi Media	1
Space Ace (USA)	Space Ace	1993	Adventure	International Creative Digital Image	1
Sport Freaks (Netherlands)	Sport Freaks	1996	Quiz	SPC Vision	1-2
Steel Machine (Europe)	Steel Machine	1993		SPC Vision B.V.	1
Story Machine - Magic Tales (USA)	Story Machine : Magic Tales	1991	Educational	Spinnaker Software	1
Story Machine - Star Dreams (USA)	Story Machine - Star Dreams				
Story Maschine - Maerchenzauber (Germany)	Story Machine : Magic Tales	1991	Educational	Spinnaker Software	1
Striker Pro (USA)	Striker Pro	1994	Sports / Football (Soccer)/Sports	Rage Software	1-2
Strip Poker Live (Europe) (En,It)	Strip Poker Live	1994	Adults	GreenPig	1-2
Strip-Poker Pro (France) (En,Fr)	Strip-Poker Pro	1994	Adults	Hot Stage	1
Super Mario's Wacky Worlds (USA) (Proto) (1993-03-03)	Super Mario's Wacky Worlds	1993	Platform / Run & Jump Scrolling/Platform	NovaLogic	1
SuperTest (Europe) (De,It)	SuperTest				
Surf City (USA)	Surf City	1994	Adventure	Philips Sidewalk Studio	1
Taiyou o Karitoru Hito - Harvest of the Sun - Vincent van Gogh (Japan)	Harvest Of The Sun Vincent Van Gogh Revisited	1991	Educational	PIMA ArtSpace Group	1
Tangram (Europe) (En,Ja,Fr,De,Es,It,Nl,Pt)	Tangram	1992	Puzzle	Eaglevision Interactive Productions	1
Tell Me Why - One (USA, Europe)	Tell Me Why - One				
Tell Me Why - Two (USA, Europe)	Tell Me Why - One				
Tetris (USA, Europe)	Tetris	1992	Puzzle / Fall/Puzzle	Philips P.O.V. Entertainment Group	1
Tetsuo Gaiden (Europe)	Tetsuo Gaiden	1997	Shoot'em Up / Vertical/Shoot'em Up	Creative Multimedia	1-2
Text Tiles (USA, Europe)	Text Tiles	1992	Puzzle	Capitol Disc Interactive	1
Thunder in Paradise (USA) (Disc 1) (The Game)	Thunder in Paradise Interactive	1995	Adventure / Interactive Movie/Adventure	Mass Media	1
Tim & Baer im Hafen (Germany)	Tim et Ted au Port				
Tim & Bear at the Harbour (UK)	Tim et Ted au Port				
Tim et Ted a l'Aeroport (France)	Tim Et Ted A L'Aeroport				
Tim et Ted au Port (France)	Tim et Ted au Port				
Time-Life Astrology (USA)	Time Life Astrology	1993	Educational	Philips Studio Interactif	1
